FECHA,DESCRIPCION,MONTO,TIPO
2024-03-21 00:00:00,TRANSFERENCIA INTERNET,-3.0,CUENTA
2024-03-22 00:00:00,TRANSFERENCIA INTERBANCARIA ENVIADA,-6.0,CUENTA
2024-03-22 00:00:00,TRANSFERENCIA INTERBANCARIA ENVIADA,-4.8,CUENTA
2024-03-22 00:00:00,TRANSFERENCIA INTERBANCARIA ENVIADA,-1.0,CUENTA
2024-03-25 00:00:00,DEPOSITO,280.0,CUENTA
2024-03-28 00:00:00,CERTIFICADO DE DEPOSITO,-26000.0,CUENTA
2024-04-01 00:00:00,TRANSFERENCIA INTERNET,-40.0,CUENTA
2024-04-01 00:00:00,TRANSFERENCIA INTERNET,-12.0,CUENTA
2024-04-02 00:00:00,TRANSFERENCIA INTERNET,-1.0,CUENTA
2024-04-08 00:00:00,TRANSFERENCIA INTERNET,3.0,CUENTA
2024-04-08 00:00:00,TRANSFERENCIA INTERNET,2.1,CUENTA
2024-04-08 00:00:00,TRANSFERENCIA INTERNET,-3.0,CUENTA
2024-04-11 00:00:00,TRANSFERENCIA INTERNET,-45.0,CUENTA
2024-04-17 00:00:00,TRANSFERENCIA INTERBANCARIA ENVIADA,-16.75,CUENTA
2024-04-18 00:00:00,TRANSFERENCIA INTERNET,40.0,CUENTA
2024-04-19 00:00:00,TRANSFERENCIA INTERNET,-6.0,CUENTA
2024-04-22 00:00:00,TRANSFERENCIA INTERBANCARIA ENVIADA,-10.12,CUENTA
2024-04-22 00:00:00,TRANSFERENCIA INTERBANCARIA ENVIADA,-6.7,CUENTA
2024-04-22 00:00:00,TRANSFERENCIA INTERBANCARIA ENVIADA,-2.3,CUENTA
2024-04-24 00:00:00,TRANSFERENCIA INTERBANCARIA ENVIADA,-1.0,CUENTA
2024-04-26 00:00:00,TRANSFERENCIA INTERNET,216.02,CUENTA
2024-04-29 00:00:00,TRANSFERENCIA INTERNET,6.0,CUENTA
2024-04-30 00:00:00,TRANSFERENCIA INTERBANCARIA ENVIADA,-3.0,CUENTA
2024-05-01 00:00:00,DEPOSITO 8049,220.0,CUENTA
2024-05-01 00:00:00,DEPOSITO 8052,390.0,CUENTA
2024-05-02 00:00:00,TRANSFERENCIA INTERNET,-50.0,CUENTA
2024-05-13 00:00:00,TRANSFERENCIA INTERBANCARIA ENVIADA,-25.0,CUENTA
2024-05-14 00:00:00,TRANSFERENCIA INTERBANCARIA ENVIADA,-2.5,CUENTA
2024-05-17 00:00:00,TRANSFERENCIA INTERBANCARIA ENVIADA,-10.0,CUENTA
2024-05-22 00:00:00,TRANSFERENCIA INTERBANCARIA ENVIADA,-2.0,CUENTA
2024-05-22 00:00:00,TRANSFERENCIA INTERBANCARIA ENVIADA,-0.25,CUENTA
2024-05-23 00:00:00,TRANSFERENCIA INTERNET,-4.0,CUENTA
2024-05-28 00:00:00,**COM SRI TRF 000000000,-0.27,CUENTA
2024-05-28 00:00:00,IVA SRI TRF 000000000,-0.04,CUENTA
2024-05-28 00:00:00,PAGO SRI TRF 00000000000005827546,-244.87,CUENTA
2024-05-29 00:00:00,CANCELACION PLAZO FIJO,10100.0,CUENTA
2024-05-29 00:00:00,TRANSFERENCIA INTERIOR,172.21,CUENTA
2024-05-29 00:00:00,RETENCION 2% RENDIMIENTO FINANCIERO,-3.44,CUENTA
2024-05-31 00:00:00,TRANSFERENCIA INTERBANCARIA ENVIADA,-4.0,CUENTA
2024-05-31 00:00:00,TRANSFERENCIA INTERBANCARIA ENVIADA,-6.7,CUENTA
2024-06-03 00:00:00,TRANSFERENCIA INTERBANCARIA RECIBIDA,14.5,CUENTA
2024-06-04 00:00:00,TRANSFERENCIA INTERBANCARIA ENVIADA,-2.15,CUENTA
2024-06-04 00:00:00,CERTIFICADO DE DEPOSITO,-10278.0,CUENTA
2024-06-11 00:00:00,TRANSFERENCIA INTERBANCARIA ENVIADA,-3.0,CUENTA
2024-06-11 00:00:00,TRANSFERENCIA INTERNET,3.0,CUENTA
2024-06-12 00:00:00,TRANSFERENCIA INTERNET,-7.0,CUENTA
2024-06-14 00:00:00,TRANSFERENCIA INTERBANCARIA ENVIADA,-3.4,CUENTA
2024-06-14 00:00:00,TRANSFERENCIA INTERNET,-1.25,CUENTA
2024-06-20 00:00:00,05029027-MASTERCARD -RA-22306700008,-478.28,CUENTA
2024-06-20 00:00:00,TRANSFERENCIA INTERNET,-14.0,CUENTA
2024-06-24 00:00:00,TRANSFERENCIA INTERNET,26.41,CUENTA
2024-06-24 00:00:00,TRANSFERENCIA INTERNET,25.4,CUENTA
2024-06-24 00:00:00,TRANSFERENCIA INTERNET,27.5,CUENTA
2024-06-24 00:00:00,TRANSFERENCIA INTERBANCARIA ENVIADA,-1.4,CUENTA
2024-06-25 00:00:00,TRANSFERENCIA INTERNET,-60.0,CUENTA
2024-06-25 00:00:00,TRANSFERENCIA INTERNET,-2.75,CUENTA
2024-06-26 00:00:00,TRANSFERENCIA INTERNET,-0.8,CUENTA
2024-06-27 00:00:00,TRANSFERENCIA INTERBANCARIA ENVIADA,-2.0,CUENTA
2024-06-27 00:00:00,TRANSFERENCIA INTERBANCARIA ENVIADA,-5.0,CUENTA
2024-06-27 00:00:00,TRANSFERENCIA INTERBANCARIA ENVIADA,-5.0,CUENTA
2024-07-04 00:00:00,TRANSFERENCIA INTERBANCARIA ENVIADA,-6.9,CUENTA
2024-07-04 00:00:00,TRANSFERENCIA INTERNET,-15.0,CUENTA
2024-07-04 00:00:00,TRANSFERENCIA INTERBANCARIA ENVIADA,-8.0,CUENTA
2024-07-05 00:00:00,TRANSFERENCIA INTERNET,-60.0,CUENTA
2024-07-05 00:00:00,TRANSFERENCIA INTERNET,-150.0,CUENTA
2024-07-15 00:00:00,TRANSFERENCIA INTERNET,40.0,CUENTA
2024-07-15 00:00:00,TRANSFERENCIA INTERBANCARIA ENVIADA,-3.5,CUENTA
2024-07-17 00:00:00,TRANSFERENCIA INTERBANCARIA ENVIADA,-5.5,CUENTA
2024-07-17 00:00:00,TRANSFERENCIA INTERBANCARIA ENVIADA,-0.2,CUENTA
2024-07-17 00:00:00,REV_TRANSFERENCIA INTERBANCARIA ENVIADA,0.2,CUENTA
2024-07-17 00:00:00,TRANSFERENCIA INTERNET,-1.0,CUENTA
2024-07-18 00:00:00,TRANSFERENCIA INTERBANCARIA ENVIADA,-4.0,CUENTA
2024-07-18 00:00:00,TRANSFERENCIA INTERBANCARIA ENVIADA,-2.5,CUENTA
2024-07-19 00:00:00,TRANSFERENCIA INTERBANCARIA ENVIADA,-10.75,CUENTA
2024-07-19 00:00:00,TRANSFERENCIA INTERBANCARIA ENVIADA,-7.0,CUENTA
2024-07-22 00:00:00,*PAGO TARJETA: 2230670000895647,-20.0,CUENTA
2024-07-22 00:00:00,TRANSFERENCIA INTERBANCARIA RECIBIDA,25.35,CUENTA
2024-07-23 00:00:00,TRANSFERENCIA INTERBANCARIA ENVIADA,-3.95,CUENTA
2024-07-24 00:00:00,TRANSFERENCIA INTERBANCARIA ENVIADA,-3.5,CUENTA
2024-07-24 00:00:00,TRANSFERENCIA INTERBANCARIA ENVIADA,-5.0,CUENTA
2024-07-25 00:00:00,TRANSFERENCIA INTERBANCARIA ENVIADA,-1.5,CUENTA
2024-07-26 00:00:00,TRANSFERENCIA INTERNET,-3.0,CUENTA
2024-07-26 00:00:00,TRANSFERENCIA INTERBANCARIA ENVIADA,-2.5,CUENTA
2024-07-26 00:00:00,TRANSFERENCIA INTERBANCARIA ENVIADA,-3.0,CUENTA
2024-07-29 00:00:00,TRANSFERENCIA INTERBANCARIA ENVIADA,-17.56,CUENTA
2024-07-29 00:00:00,TRANSFERENCIA INTERBANCARIA ENVIADA,-1.5,CUENTA
2024-07-30 00:00:00,TRANSFERENCIA INTERBANCARIA ENVIADA,-2.0,CUENTA
2024-08-05 00:00:00,TRANSFERENCIA INTERNET,-13.75,CUENTA
2024-08-06 00:00:00,06296775-MASTERCARD -RA-22306700008,-255.16,CUENTA
2024-08-06 00:00:00,TRANSFERENCIA INTERBANCARIA ENVIADA,-11.6,CUENTA
2024-08-06 00:00:00,TRANSFERENCIA INTERBANCARIA ENVIADA,-9.0,CUENTA
2024-08-12 00:00:00,06413758-DISCOVER -RX-65573500021,-131.61,CUENTA
2024-08-12 00:00:00,TRANSFERENCIA INTERNET,-6.0,CUENTA
2024-08-13 00:00:00,TRANSFERENCIA INTERNET,-23.75,CUENTA
2024-08-13 00:00:00,TRANSFERENCIA INTERBANCARIA ENVIADA,-1.45,CUENTA
2024-08-15 00:00:00,TRANSFERENCIA INTERNET,30.0,CUENTA
2024-08-19 00:00:00,TRANSFERENCIA INTERNET,-7.0,CUENTA
2024-08-21 00:00:00,*PAGO TARJETA: 2230670000895647,-20.0,CUENTA
2024-08-21 00:00:00,TRANSFERENCIA INTERBANCARIA ENVIADA,-4.03,CUENTA
2024-08-22 00:00:00,TRANSFERENCIA INTERBANCARIA ENVIADA,-2.5,CUENTA
2024-08-23 00:00:00,06761403-MASTERCARD -RA-54660500091,-1080.0,CUENTA
2024-08-23 00:00:00,TRANSFERENCIA INTERBANCARIA ENVIADA,-4.5,CUENTA
2024-08-26 00:00:00,TRANSFERENCIA INTERBANCARIA ENVIADA,-5.0,CUENTA
2024-08-27 00:00:00,TRANSFERENCIA INTERBANCARIA ENVIADA,-2.95,CUENTA
2024-08-27 00:00:00,TRANSFERENCIA INTERBANCARIA ENVIADA,-8.53,CUENTA
2024-08-27 00:00:00,TRANSFERENCIA INTERNET,30.0,CUENTA
2024-08-27 00:00:00,TRANSFERENCIA INTERBANCARIA ENVIADA,-20.0,CUENTA
2024-09-02 00:00:00,TRANSFERENCIA INTERNET,8.75,CUENTA
2024-09-04 00:00:00,CANCELACION PLAZO FIJO,10278.0,CUENTA
2024-09-04 00:00:00,TRANSFERENCIA INTERIOR,208.82,CUENTA
2024-09-04 00:00:00,RETENCION 2% RENDIMIENTO FINANCIERO,-4.18,CUENTA
2024-09-04 00:00:00,TRANSFERENCIA INTERBANCARIA ENVIADA,-26.3,CUENTA
2024-09-04 00:00:00,TRANSFERENCIA INTERBANCARIA ENVIADA,-1.5,CUENTA
2024-09-09 00:00:00,PAGO TARJETA INTERBANCARIA ENVIADA,-0.23,CUENTA
2024-09-09 00:00:00,REV_PAGO TARJETA INTERBANCARIA ENVIADA,0.23,CUENTA
2024-09-09 00:00:00,TRANSFERENCIA INTERNET,-2.1,CUENTA
2024-09-09 00:00:00,TRANSFERENCIA INTERBANCARIA ENVIADA,-3.0,CUENTA
2024-09-11 00:00:00,TRANSFERENCIA INTERBANCARIA ENVIADA,-3.75,CUENTA
2024-09-11 00:00:00,TRANSFERENCIA INTERBANCARIA A ANDRE SEBASTIAN ARCENTALES ARCI,-3.75,CUENTA
2024-09-17 00:00:00,TRANSFERENCIA DIRECTA A ROMERO BENALCAZAR ALICIA LUPE,-6.5,CUENTA
2024-09-19 00:00:00,TRANSFERENCIA INTERBANCARIA A MARCELO ANDRES AGUILAR CIFUENTES,-3.66,CUENTA
2024-09-20 00:00:00,07550945-MASTERCARD     -RECAUDACIONES-223067000034,-401.21,CUENTA
2024-09-23 00:00:00,PAGO TARJETA INTERBANCARIA ENVIADA,-1.47,CUENTA
2024-09-23 00:00:00,07593554-MASTERCARD     -RECAUDACIONES-546605000918,-3228.5,CUENTA
2024-09-23 00:00:00,CERTIFICADO DE DEPOSITO,-6648.0,CUENTA
2024-09-23 00:00:00,TRANSFERENCIA DIRECTA A MEDINA AYALA VIOLETA ALEJANDRA,-22.14,CUENTA
2024-09-26 00:00:00,TRANSFERENCIA INTERBANCARIA A ANDRE SEBASTIAN ARCENTALES ARCI,-3.0,CUENTA
2024-09-26 00:00:00,TRANSFERENCIA INTERBANCARIA DE CUENCA PACHACAMA JIMMY ALEXANDE,2.0,CUENTA
2024-09-26 00:00:00,TRANSFERENCIA DIRECTA A PUJOTA PAUCAR LUIS ALBERTO,-8.0,CUENTA
2024-09-27 00:00:00,TRANSFERENCIA DIRECTA A LPPC S.A.S. B.I.C.,-9.5,CUENTA
2024-09-30 00:00:00,TRANSFERENCIA INTERBANCARIA A FANNY JANETH BORJA REA,-3.75,CUENTA
2024-09-30 00:00:00,TRANSFERENCIA DIRECTA A PAGUAY PAREDES PAMELA LIZETH,-3.2,CUENTA
2024-09-30 00:00:00,TRANSFERENCIA DIRECTA A DERMAGISTRAL S. A. S.,-150.0,CUENTA
2024-09-30 00:00:00,TRANSFERENCIA DIRECTA A DERMAAID S.A.S,-60.0,CUENTA
2024-10-01 00:00:00,TRANSFERENCIA INTERBANCARIA A ANDRE SEBASTIAN ARCENTALES ARCI,-3.5,CUENTA
2024-10-02 00:00:00,TRANSFERENCIA DIRECTA DE ARCINIEGA BASANTES PAULINA MARIA,249.0,CUENTA
2024-10-02 00:00:00,TRANSFERENCIA DIRECTA DE ARCINIEGA BASANTES PAULINA MARIA,132.0,CUENTA
2024-10-04 00:00:00,TRANSFERENCIA INTERBANCARIA A ANDRE SEBASTIAN ARCENTALES ARCI,-2.5,CUENTA
2024-10-04 00:00:00,TRANSFERENCIA INTERBANCARIA A ANDRE SEBASTIAN ARCENTALES ARCI,-3.25,CUENTA
2024-10-04 00:00:00,TRANSFERENCIA DIRECTA A JIMENEZ TITUANA LUIGI DANIEL,-5.0,CUENTA
2024-10-04 00:00:00,TRANSFERENCIA DIRECTA A JIMENEZ TITUANA LUIGI DANIEL,-5.0,CUENTA
2024-10-04 00:00:00,TRANSFERENCIA DIRECTA A REVELO REYES PAUL ALEXANDER,-2.0,CUENTA
2024-10-04 00:00:00,TRANSFERENCIA INTERBANCARIA A ANDRE SEBASTIAN ARCENTALES ARCI,-0.4,CUENTA
2024-10-07 00:00:00,TRANSFERENCIA INTERBANCARIA A ANDRE SEBASTIAN ARCENTALES ARCI,-3.25,CUENTA
2024-10-08 00:00:00,TRANSFERENCIA INTERBANCARIA A ANDRE SEBASTIAN ARCENTALES ARCI,-12.0,CUENTA
2024-10-09 00:00:00,TRANSFERENCIA DIRECTA A PAGUAY PAREDES PAMELA LIZETH,-2.0,CUENTA
2024-10-10 00:00:00,TRANSFERENCIA INTERBANCARIA A ANDRE SEBASTIAN ARCENTALES ARCI,-3.75,CUENTA
2024-10-10 00:00:00,TRANSFERENCIA DIRECTA A ANANGONO LASTRA JUAN CARLOS,-30.0,CUENTA
2024-10-18 00:00:00,TRANSFERENCIA DIRECTA A MENDOZA CHILLAGANA MARIA GLADYS,-7.0,CUENTA
2024-10-18 00:00:00,TRANSFERENCIA DIRECTA DE NARANJO FREIRE GABRIEL NICOLAS,2.5,CUENTA
2024-10-18 00:00:00,TRANSFERENCIA DIRECTA A JIMENEZ TITUANA LUIGI DANIEL,-5.0,CUENTA
2024-10-18 00:00:00,TRANSFERENCIA DIRECTA A JIMENEZ TITUANA LUIGI DANIEL,-5.0,CUENTA
2024-10-18 00:00:00,TRANSFERENCIA DIRECTA A VELASCO CORTES STEVEN SEBASTIAN,-100.0,CUENTA
2024-10-18 00:00:00,TRANSFERENCIA DIRECTA A VELASCO CORTES STEVEN SEBASTIAN,-100.0,CUENTA
2024-10-18 00:00:00,TRANSFERENCIA DIRECTA A VELASCO CORTES STEVEN SEBASTIAN,-100.0,CUENTA
2024-10-23 00:00:00,REG 7687179- 7681350 DBERTERO,300.0,CUENTA
2024-10-24 00:00:00,CANCELACION PLAZO FIJO,6648.0,CUENTA
2024-10-24 00:00:00,CANCELACION PLAZO FIJO,27.48,CUENTA
2024-10-24 00:00:00,RETENCION 2% RENDIMIENTO FINANCIERO,-0.55,CUENTA
2024-10-25 00:00:00,CANCELACION PLAZO FIJO,12854.21,CUENTA
2024-10-25 00:00:00,CANCELACION PLAZO FIJO,682.63,CUENTA
2024-11-05 00:00:00,TRANSFERENCIA DIRECTA DE ARCINIEGA BASANTES PAULINA MARIA,132.0,CUENTA
2024-11-08 00:00:00,TRANSFERENCIA INTERBANCARIA DE GUSTAVO DAVID JARA RAMIREZ,2.0,CUENTA
2024-11-14 00:00:00,09075581-NOVAECUADOR    -3V-TU BANCA PRO,-45.07,CUENTA
2024-11-15 00:00:00,PAGO TARJETA:  2230670000895647,-45.11,CUENTA
2024-11-18 00:00:00,CERTIFICADO DE DEPOSITO,-10310.0,CUENTA
2024-11-18 00:00:00,CERTIFICADO DE DEPOSITO,-10003.0,CUENTA
2024-11-19 00:00:00,09189088-MASTERCARD     -RECAUDACIONES-223067000075,-286.98,CUENTA
2024-12-09 00:00:00,PAGO TARJETA INTERBANCARIA ENVIADA,-2.49,CUENTA
2024-12-10 00:00:00,TRANSFERENCIA INTERBANCARIA DE VIOLETA ALEJANDRA MEDINA AYALA,6.0,CUENTA
2024-12-10 00:00:00,TRANSFERENCIA INTERBANCARIA DE NORMA ISABEL PAZMIÑO VALLEJO,5.71,CUENTA
2024-12-10 00:00:00,TRANSFERENCIA DIRECTA A MULLO VALLA SECIA SAMANTHA,-3.0,CUENTA
2024-12-11 00:00:00,TRANSFERENCIA INTERBANCARIA A ARCGOLD DEL ECUADOR S.A. MC DONALDS,-6.6,CUENTA
2024-12-12 00:00:00,TRANSFERENCIA INTERBANCARIA A LILIANA PATRICIA PEREZ GARCIA,-2.0,CUENTA
2024-12-12 00:00:00,TRANSFERENCIA DIRECTA A PARRA CARDENAS ALBERTO RODRIGO,-10.0,CUENTA
2024-12-12 00:00:00,TRANSFERENCIA INTERBANCARIA A GREGORY ALESSANDRO ARIAS VACA,-2.25,CUENTA
2024-12-13 00:00:00,TRANSFERENCIA DIRECTA A VILLACRES CARRILLO ALICIA,-3.7,CUENTA
2024-12-16 00:00:00,TRANSFERENCIA DIRECTA DE ARCENTALES ARCINIEGA ARIANNA NICOLE,40.0,CUENTA
2024-12-20 00:00:00,TRANSFERENCIA INTERBANCARIA A LICETH MARICELA PROANO PEREZ,-4.0,CUENTA
2024-12-20 00:00:00,"TRANSFERENCIA INTERBANCARIA A DILIPA, DISTRIBUIDORA DE LIBROS Y PAPELERIA C.LTDA. DILIPA",-2.62,CUENTA
2024-12-20 00:00:00,TRANSFERENCIA INTERBANCARIA A MANUEL GILBERTO CHUQUIN PINCHAO,-3.0,CUENTA
2024-12-23 00:00:00,TRANSFERENCIA INTERBANCARIA A ERICK EDUARDO MOSQUERA HERRERA,-7.06,CUENTA
2024-12-23 00:00:00,TRANSFERENCIA DIRECTA A PANILUISA CHICAIZA EDISON ORLANDO,-4.15,CUENTA
2024-12-24 00:00:00,TRANSFERENCIA DIRECTA A PANILUISA CHICAIZA EDISON ORLANDO,-6.7,CUENTA
2024-12-27 00:00:00,TRANSFERENCIA DIRECTA DE ARCENTALES ARCINIEGA ARIANNA NICOLE,50.0,CUENTA
2024-12-27 00:00:00,TRANSFERENCIA DIRECTA A MONSERRATE NARANJO CARLOS ARMANDO,-2.5,CUENTA
2024-12-30 00:00:00,TRANSFERENCIA DIRECTA A ARCOS MEZA PAUL MATEO,-2.0,CUENTA
2025-01-06 00:00:00,PAGO TARJETA INTERBANCARIA ENVIADA,-1.26,CUENTA
2025-01-06 00:00:00,TRANSFERENCIA DIRECTA DE ARCINIEGA BASANTES PAULINA MARIA,440.0,CUENTA
2025-01-06 00:00:00,TRANSFERENCIA DIRECTA DE ARCINIEGA BASANTES PAULINA MARIA,160.0,CUENTA
2025-01-06 00:00:00,TRANSFERENCIA DIRECTA DE ARCINIEGA BASANTES PAULINA MARIA,100.0,CUENTA
2025-01-07 00:00:00,TRANSFERENCIA DIRECTA A VILLACIS SUAREZ GABRIELA SOLEDAD,-6.0,CUENTA
2025-01-07 00:00:00,TRANSFERENCIA DIRECTA A LAVERDE MUÑOZ JORGE DAVID,-14.0,CUENTA
2025-01-09 00:00:00,TRANSFERENCIA INTERBANCARIA A MIGUEL ANGEL PAEZ NARANJO,-6.0,CUENTA
2025-01-10 00:00:00,TRANSFERENCIA INTERBANCARIA A JOSUE ALFREDO ARAUJO GALAN,-26.0,CUENTA
2025-01-10 00:00:00,TRANSFERENCIA DIRECTA A MALTE MUEPAZ ELISA TATIANA,-3.75,CUENTA
2025-01-10 00:00:00,TRANSFERENCIA DIRECTA A MALTE MUEPAZ ELISA TATIANA,-1.0,CUENTA
2025-01-10 00:00:00,TRANSFERENCIA INTERBANCARIA A ERICK EDUARDO MOSQUERA HERRERA,-3.28,CUENTA
2025-01-13 00:00:00,TRANSFERENCIA INTERBANCARIA A MANUEL MARIO IZURIETA ALEMAN,-4.0,CUENTA
2025-01-14 00:00:00,TRANSFERENCIA INTERBANCARIA A BYRON MANUEL YEPEZ YANEZ,-3.0,CUENTA
2025-01-15 00:00:00,TRANSFERENCIA INTERBANCARIA A MARIA ELENA RECALDE ESTACIO,-3.0,CUENTA
2025-01-16 00:00:00,TRANSFERENCIA INTERBANCARIA A GREGORY ALESSANDRO ARIAS VACA,-3.25,CUENTA
2025-01-17 00:00:00,TRANSFERENCIA INTERBANCARIA A FABIOLA BERENICE TORRES GONZALEZ,-3.0,CUENTA
2025-01-20 00:00:00,TRANSFERENCIA INTERBANCARIA A SEGUNDO GALO MORALES PARRA,-2.15,CUENTA
2025-01-21 00:00:00,PAGO TARJETA:  2230670000895647,-20.0,CUENTA
2025-01-21 00:00:00,TRANSFERENCIA DIRECTA A DERMAAID S.A.S,-140.0,CUENTA
2025-01-21 00:00:00,TRANSFERENCIA INTERBANCARIA A CARMITA CONZUELO RODRIGUEZ CELI,-3.25,CUENTA
2025-01-22 00:00:00,10970033-MASTERCARD     -RECAUDACIONES-223067000075,-275.27,CUENTA
2025-01-22 00:00:00,TRANSFERENCIA INTERBANCARIA A GREGORY ALESSANDRO ARIAS VACA,-3.25,CUENTA
2025-01-23 00:00:00,TRANSFERENCIA INTERBANCARIA A LUIS FERNANDO MELGAREJO JACOME,-3.5,CUENTA
2025-01-23 00:00:00,TRANSFERENCIA INTERBANCARIA A JUAN CARLOS BALLA YUMBO,-3.25,CUENTA
2025-01-24 00:00:00,CANCELACION PLAZO FIJO,26000.0,CUENTA
2025-01-24 00:00:00,CANCELACION PLAZO FIJO,1897.57,CUENTA
2025-01-24 00:00:00,TRANSFERENCIA INTERBANCARIA A GREGORY ALESSANDRO ARIAS VACA,-3.25,CUENTA
2025-01-27 00:00:00,TRANSFERENCIA INTERNET,-1.6,CUENTA
2025-01-27 00:00:00,TRANSFERENCIA INTERBANCARIA ENVIADA,-3.25,CUENTA
2025-01-28 00:00:00,TRANSFERENCIA INTERBANCARIA A GREGORY ALESSANDRO ARIAS VACA,-3.0,CUENTA
2025-01-29 00:00:00,TRANSFERENCIA INTERBANCARIA A COMERCIAL EL ARBOLITO CIA. LTDA. COMERCIAL EL ARBOLITO,-9.35,CUENTA
2025-01-29 00:00:00,TRANSFERENCIA DIRECTA A IBARRA SABANDO JOSE ANTONIO,-0.4,CUENTA
2025-01-30 00:00:00,TRANSFERENCIA DIRECTA A ORAMAS VALLADARES PAULA ANDREA,-3.0,CUENTA
2025-01-31 00:00:00,TRANSFERENCIA INTERBANCARIA A MARIA MAGOLA QUIROZ DIAZ,-10.5,CUENTA
2025-01-31 00:00:00,TRANSFERENCIA INTERBANCARIA A MANUEL MARIO IZURIETA ALEMAN,-4.0,CUENTA
2025-02-03 00:00:00,TRANSFERENCIA INTERBANCARIA A GREGORY ALESSANDRO ARIAS VACA,-3.0,CUENTA
2025-02-03 00:00:00,TRANSFERENCIA DIRECTA DE ARCENTALES ARCINIEGA ARIANNA NICOLE,290.0,CUENTA
2025-02-04 00:00:00,TRANSFERENCIA INTERBANCARIA A GREGORY ALESSANDRO ARIAS VACA,-3.0,CUENTA
2025-02-04 00:00:00,TRANSFERENCIA INTERBANCARIA A STEFFANY NICOLE ORTIZ SANDOVAL,-2.99,CUENTA
2025-02-04 00:00:00,TRANSFERENCIA INTERBANCARIA A SONIA ESTEFANY MEJIA GUERRON,-0.5,CUENTA
2025-02-04 00:00:00,TRANSFERENCIA INTERBANCARIA A SONIA ESTEFANY MEJIA GUERRON,-0.5,CUENTA
2025-02-04 00:00:00,TRANSFERENCIA INTERBANCARIA A SONIA ESTEFANY MEJIA GUERRON,-3.0,CUENTA
2025-02-05 00:00:00,TRANSFERENCIA DIRECTA A DE LA CRUZ QUISTANCHALA JORGE SANTIAGO,-14.5,CUENTA
2025-02-05 00:00:00,TRANSFERENCIA DIRECTA A ARCENTALES ARCINIEGA ARIANNA NICOLE,-290.0,CUENTA
2025-02-05 00:00:00,PAGO TARJETA INTERBANCARIA ENVIADA,-1.24,CUENTA
2025-02-05 00:00:00,TRANSFERENCIA INTERBANCARIA A A & I INTERNATIONAL TRADING DERMASOFT CIA LTDA DERMASOFT,-34.07,CUENTA
2025-02-06 00:00:00,TRANSFERENCIA INTERBANCARIA A GREGORY ALESSANDRO ARIAS VACA,-3.25,CUENTA
2025-02-07 00:00:00,TRANSFERENCIA DIRECTA A SANCHO PONTON BYRON JOSE,-35.0,CUENTA
2025-02-07 00:00:00,TRANSFERENCIA INTERBANCARIA A ESTEFANIA CONSTANZA ALARCON QUISPE,-1.0,CUENTA
2025-02-07 00:00:00,TRANSFERENCIA INTERBANCARIA A GREGORY ALESSANDRO ARIAS VACA,-3.0,CUENTA
2025-02-10 00:00:00,TRANSFERENCIA INTERBANCARIA A GREGORY ALESSANDRO ARIAS VACA,-9.75,CUENTA
2025-02-10 00:00:00,TRANSFERENCIA DIRECTA DE ARCINIEGA BASANTES PAULINA MARIA,200.0,CUENTA
