FECHA,OFIC.,N.DOC.,DESCRIPCION,DEBITO,CREDITO,SALDO
21-mar,12,41638164,REV_TRANSFERENCIA INTERBANCARIA ENVIADA,0,3,27820.9
21-mar,12,41727071,TRANSFERENCIA INTERNET,3,0,27817.9
22-mar,12,51871908,TRANSFERENCIA INTERBANCARIA ENVIADA,6,0,27811.9
22-mar,12,52999306,TRANSFERENCIA INTERBANCARIA ENVIADA,4.8,0,27807.1
22-mar,12,73198653,TRANSFERENCIA INTERBANCARIA ENVIADA,1,0,27806.1
25-mar,34,176462690,DEPOSITO,0,280,28086.1
28-mar,12,47646567,CERTIFICADO DE DEPOSITO,26000,0,2086.1
30-abr,901,826468274,INTERES A SU FAVOR,0,0.02,2098.79
01-abr,12,262967911,TRANSFERENCIA INTERNET,40,0,2058.79
01-abr,12,277330547,TRANSFERENCIA INTERNET,12,0,2046.79
02-abr,12,9155625,TRANSFERENCIA INTERNET,1,0,2045.79
08-abr,12,53194803,TRANSFERENCIA INTERNET,0,3,2048.79
08-abr,12,150315020,TRANSFERENCIA INTERNET,0,2.1,2050.89
08-abr,12,150464493,TRANSFERENCIA INTERNET,3,0,2047.89
11-abr,12,89110632,TRANSFERENCIA INTERNET,45,0,2002.89
17-abr,12,92065862,TRANSFERENCIA INTERBANCARIA ENVIADA,16.75,0,1986.14
18-abr,12,52981059,TRANSFERENCIA INTERNET,0,40,2026.14
19-abr,12,89726388,TRANSFERENCIA INTERNET,6,0,2020.14
22-abr,12,60528554,TRANSFERENCIA INTERBANCARIA ENVIADA,10.12,0,2010.02
22-abr,12,105851859,TRANSFERENCIA INTERBANCARIA ENVIADA,6.7,0,2003.32
22-abr,12,178497469,TRANSFERENCIA INTERBANCARIA ENVIADA,2.3,0,2001.02
24-abr,12,2838483,TRANSFERENCIA INTERBANCARIA ENVIADA,1,0,2000.02
26-abr,12,47517248,TRANSFERENCIA INTERNET,0,216.02,2216.04
29-abr,12,150736009,TRANSFERENCIA INTERNET,0,6,2222.04
30-abr,12,11256904,TRANSFERENCIA INTERBANCARIA ENVIADA,3,0,2219.04
01-may,402,58105590,DEPOSITO 8049,0,220,2439.04
01-may,402,58677305,DEPOSITO 8052,0,390,2829.04
02-may,12,99677191,TRANSFERENCIA INTERNET,50,0,2779.04
31-may,901,826416594,INTERES A SU FAVOR,0,0.74,2779.78
13-may,12,185792483,**COMISION TRANSFERENCIA INTERBANCARIA EN,0.36,0,2779.42
13-may,12,185792483,IVA COBRADO,0.05,0,2779.37
13-may,12,185792483,TRANSFERENCIA INTERBANCARIA ENVIADA,25,0,2754.37
14-may,12,6672767,TRANSFERENCIA INTERBANCARIA ENVIADA,2.5,0,2751.87
17-may,12,68506076,TRANSFERENCIA INTERBANCARIA ENVIADA,10,0,2741.87
22-may,12,63138502,TRANSFERENCIA INTERBANCARIA ENVIADA,2,0,2739.87
22-may,12,63228815,TRANSFERENCIA INTERBANCARIA ENVIADA,0.25,0,2739.62
23-may,12,33440381,TRANSFERENCIA INTERNET,4,0,2735.62
28-may,12,96835271,**COM SRI TRF 000000000,0.27,0,2735.35
28-may,12,96835271,IVA SRI TRF 000000000,0.04,0,2735.31
28-may,12,96835271,PAGO SRI TRF 00000000000005827546,244.87,0,2490.44
29-may,12,651940,CANCELACION PLAZO FIJO,0,10100,12590.44
29-may,12,651940,TRANSFERENCIA INTERIOR,0,172.21,12762.65
29-may,12,651940,RETENCION 2% RENDIMIENTO FINANCIERO,3.44,0,12759.21
31-may,12,69075062,TRANSFERENCIA INTERBANCARIA ENVIADA,4,0,12755.21
31-may,12,131710316,TRANSFERENCIA INTERBANCARIA ENVIADA,6.7,0,12748.51
03-jun,12,250407204,TRANSFERENCIA INTERBANCARIA RECIBIDA,0,14.5,12763.01
04-jun,12,52779375,TRANSFERENCIA INTERBANCARIA ENVIADA,2.15,0,12760.86
04-jun,12,109536567,CERTIFICADO DE DEPOSITO,10278,0,2482.86
30-jun,901,826361100,INTERES A SU FAVOR,0,0.55,2483.41
11-jun,12,45781293,TRANSFERENCIA INTERNET,0,3,2486.41
11-jun,12,54860248,TRANSFERENCIA INTERBANCARIA ENVIADA,3,0,2483.41
12-jun,12,25725867,TRANSFERENCIA INTERNET,7,0,2476.41
14-jun,12,43075436,TRANSFERENCIA INTERBANCARIA ENVIADA,3.4,0,2473.01
14-jun,12,110207529,TRANSFERENCIA INTERNET,1.25,0,2471.76
20-jun,12,84731598,05029027-MASTERCARD -RA-22306700008,478.28,0,1993.48
20-jun,12,84958286,TRANSFERENCIA INTERNET,14,0,1979.48
24-jun,12,141197280,TRANSFERENCIA INTERNET,0,26.41,2005.89
24-jun,12,142897039,TRANSFERENCIA INTERNET,0,25.4,2031.29
24-jun,12,158598597,TRANSFERENCIA INTERNET,0,27.5,2058.79
24-jun,12,194548656,TRANSFERENCIA INTERBANCARIA ENVIADA,1.4,0,2057.39
25-jun,12,16824092,TRANSFERENCIA INTERNET,60,0,1997.39
25-jun,12,56800964,TRANSFERENCIA INTERNET,2.75,0,1994.64
26-jun,12,60367376,TRANSFERENCIA INTERNET,0.8,0,1993.84
27-jun,12,40567774,TRANSFERENCIA INTERBANCARIA ENVIADA,2,0,1991.84
27-jun,12,40699772,TRANSFERENCIA INTERBANCARIA ENVIADA,5,0,1986.84
27-jun,12,41791761,**COMISION TRANSFERENCIA INTERBANCARIA EN,0.36,0,1986.48
27-jun,12,41791761,IVA COBRADO,0.05,0,1986.43
27-jun,12,41791761,TRANSFERENCIA INTERBANCARIA ENVIADA,5,0,1981.43
04-jul,12,72973374,TRANSFERENCIA INTERBANCARIA ENVIADA,6.9,0,1974.53
04-jul,12,74818677,TRANSFERENCIA INTERNET,15,0,1959.53
04-jul,12,98683269,TRANSFERENCIA INTERBANCARIA ENVIADA,8,0,1951.53
05-jul,12,54575635,TRANSFERENCIA INTERNET,60,0,1891.53
05-jul,12,54755215,TRANSFERENCIA INTERNET,150,0,1741.53
15-jul,12,143227996,TRANSFERENCIA INTERNET,0,40,1781.53
15-jul,12,254074352,TRANSFERENCIA INTERBANCARIA ENVIADA,3.5,0,1778.03
17-jul,12,86530112,TRANSFERENCIA INTERBANCARIA ENVIADA,5.5,0,1772.53
17-jul,12,86602244,TRANSFERENCIA INTERBANCARIA ENVIADA,0.2,0,1772.33
17-jul,12,86605811,REV_TRANSFERENCIA INTERBANCARIA ENVIADA,0,0.2,1772.53
17-jul,12,108412185,TRANSFERENCIA INTERNET,1,0,1771.53
18-jul,12,19011714,TRANSFERENCIA INTERBANCARIA ENVIADA,4,0,1767.53
18-jul,12,65563339,TRANSFERENCIA INTERBANCARIA ENVIADA,2.5,0,1765.03
19-jul,12,53405103,TRANSFERENCIA INTERBANCARIA ENVIADA,10.75,0,1754.28
19-jul,12,93302003,TRANSFERENCIA INTERBANCARIA ENVIADA,7,0,1747.28
22-jul,901,173187556,*PAGO TARJETA: 2230670000895647,20,0,1727.28
22-jul,12,210016260,TRANSFERENCIA INTERBANCARIA RECIBIDA,0,25.35,1752.63
23-jul,12,88362383,TRANSFERENCIA INTERBANCARIA ENVIADA,3.95,0,1748.68
24-jul,12,65213932,TRANSFERENCIA INTERBANCARIA ENVIADA,3.5,0,1745.18
24-jul,12,70012403,TRANSFERENCIA INTERBANCARIA ENVIADA,5,0,1740.18
25-jul,12,56345958,TRANSFERENCIA INTERBANCARIA ENVIADA,1.5,0,1738.68
26-jul,12,44215428,TRANSFERENCIA INTERNET,3,0,1735.68
26-jul,12,47338566,TRANSFERENCIA INTERBANCARIA ENVIADA,2.5,0,1733.18
26-jul,12,68941061,TRANSFERENCIA INTERBANCARIA ENVIADA,3,0,1730.18
29-jul,12,902447008,TRANSFERENCIA INTERBANCARIA ENVIADA,17.56,0,1712.62
29-jul,12,100711930,TRANSFERENCIA INTERBANCARIA ENVIADA,1.5,0,1711.12
30-jul,12,19689728,TRANSFERENCIA INTERBANCARIA ENVIADA,2,0,1709.12
05-ago,12,150108000,TRANSFERENCIA INTERNET,13.75,0,1695.37
06-ago,12,29430061,06296775-MASTERCARD -RA-22306700008,255.16,0,1440.21
06-ago,12,134910364,TRANSFERENCIA INTERBANCARIA ENVIADA,11.6,0,1428.61
06-ago,12,135037199,TRANSFERENCIA INTERBANCARIA ENVIADA,9,0,1419.61
12-ago,12,900780764,06413758-DISCOVER -RX-65573500021,131.61,0,1288
12-ago,12,900804718,TRANSFERENCIA INTERNET,6,0,1282
13-ago,12,56186904,TRANSFERENCIA INTERNET,23.75,0,1258.25
13-ago,12,113729279,TRANSFERENCIA INTERBANCARIA ENVIADA,1.45,0,1256.8
15-ago,12,121098078,TRANSFERENCIA INTERNET,0,30,1286.8
19-ago,12,96603385,TRANSFERENCIA INTERNET,7,0,1279.8
21-ago,901,21851430,*PAGO TARJETA: 2230670000895647,20,0,1259.8
21-ago,12,111274134,TRANSFERENCIA INTERBANCARIA ENVIADA,4.03,0,1255.77
22-ago,12,48099615,TRANSFERENCIA INTERBANCARIA ENVIADA,2.5,0,1253.27
23-ago,12,26380501,06761403-MASTERCARD -RA-54660500091,1080,0,173.27
23-ago,12,100042413,TRANSFERENCIA INTERBANCARIA ENVIADA,4.5,0,168.77
26-ago,12,139733352,TRANSFERENCIA INTERBANCARIA ENVIADA,5,0,163.77
27-ago,12,64137378,TRANSFERENCIA INTERBANCARIA ENVIADA,2.95,0,160.82
27-ago,12,65746215,TRANSFERENCIA INTERBANCARIA ENVIADA,8.53,0,152.29
27-ago,12,65888506,TRANSFERENCIA INTERNET,0,30,182.29
27-ago,12,76223796,TRANSFERENCIA INTERBANCARIA ENVIADA,20,0,162.29
02-sep,12,55022353,TRANSFERENCIA INTERNET,0,8.75,171.04
04-sep,12,862636,CANCELACION PLAZO FIJO,0,10278,10449.04
04-sep,12,862636,TRANSFERENCIA INTERIOR,0,208.82,10657.86
04-sep,12,862636,RETENCION 2% RENDIMIENTO FINANCIERO,4.18,0,10653.68
04-sep,12,76675526,TRANSFERENCIA INTERBANCARIA ENVIADA,26.3,0,10627.38
04-sep,12,93217888,TRANSFERENCIA INTERBANCARIA ENVIADA,1.5,0,10625.88
30-sep,901,825140085,INTERES A SU FAVOR,0,1.99,10627.87
09-sep,12,73375798,**COMISION PAGO TARJETA INTERBANCARIA ENV,0.34,0,10627.53
09-sep,12,73375798,IVA COBRADO,0.05,0,10627.48
09-sep,12,73375798,PAGO TARJETA INTERBANCARIA ENVIADA,0.23,0,10627.25
09-sep,12,73377156,REV_PAGO TARJETA INTERBANCARIA ENVIADA,0,0.23,10627.48
09-sep,12,140950090,TRANSFERENCIA INTERNET,2.1,0,10625.38
09-sep,12,238116479,TRANSFERENCIA INTERBANCARIA ENVIADA,3,0,10622.38
11-sep,12,60787378,TRANSFERENCIA INTERBANCARIA ENVIADA,3.75,0,10618.63
17-sep,12,64891474,TRANSFERENCIA INTERNET,6.5,0,10612.13
19-sep,12,80422174,TRANSFERENCIA INTERBANCARIA ENVIADA,3.66,0,10608.47
20-sep,12,79561541,07550945-MASTERCARD -RA-22306700003,401.21,0,10207.26
23-sep,12,90888871,**COMISION PAGO TARJETA INTERBANCARIA ENV,0.34,0,10206.92
23-sep,12,90888871,IVA COBRADO,0.05,0,10206.87
23-sep,12,90888871,PAGO TARJETA INTERBANCARIA ENVIADA,1.47,0,10205.4
23-sep,12,91725048,07593554-MASTERCARD -RA-54660500091,3228.5,0,6976.9
23-sep,12,91926775,CERTIFICADO DE DEPOSITO,6648,0,328.9
23-sep,12,123777677,TRANSFERENCIA INTERNET,22.14,0,306.76
26-sep,12,44141298,TRANSFERENCIA INTERBANCARIA ENVIADA,3,0,303.76
26-sep,12,45187406,TRANSFERENCIA INTERBANCARIA RECIBIDA,0,2,305.76
26-sep,12,71839019,TRANSFERENCIA INTERNET,8,0,297.76
27-sep,12,57945443,TRANSFERENCIA INTERNET,9.5,0,288.26
30-sep,12,158617717,TRANSFERENCIA INTERBANCARIA ENVIADA,3.75,0,284.51
30-sep,12,168781070,TRANSFERENCIA INTERNET,3.2,0,281.31
30-sep,12,188560334,TRANSFERENCIA INTERNET,150,0,131.31
30-sep,12,188658338,TRANSFERENCIA INTERNET,60,0,71.31
01-oct,12,13172090,TRANSFERENCIA INTERBANCARIA ENVIADA,3.5,0,67.81
02-oct,12,44945918,TRANSFERENCIA INTERNET,0,249,316.81
02-oct,12,46372521,TRANSFERENCIA INTERNET,0,132,448.81
04-oct,12,40624524,TRANSFERENCIA INTERBANCARIA ENVIADA,2.5,0,446.31
04-oct,12,58638666,TRANSFERENCIA INTERBANCARIA ENVIADA,3.25,0,443.06
04-oct,12,66680771,TRANSFERENCIA INTERNET,5,0,438.06
04-oct,12,69382180,TRANSFERENCIA INTERNET,5,0,433.06
04-oct,12,75973764,TRANSFERENCIA INTERNET,2,0,431.06
04-oct,12,86660578,TRANSFERENCIA INTERBANCARIA ENVIADA,0.4,0,430.66
07-oct,12,180674275,TRANSFERENCIA INTERBANCARIA ENVIADA,3.25,0,427.41
08-oct,12,62142973,TRANSFERENCIA INTERBANCARIA ENVIADA,12,0,415.41
09-oct,12,38372296,TRANSFERENCIA INTERNET,2,0,413.41
10-oct,12,45071524,TRANSFERENCIA INTERBANCARIA ENVIADA,3.75,0,409.66
10-oct,12,79188397,TRANSFERENCIA INTERNET,30,0,379.66
31-oct,901,825101176,INTERES A SU FAVOR,0,1.34,381
18-oct,12,35717204,TRANSFERENCIA INTERNET,7,0,374
18-oct,12,45238555,TRANSFERENCIA INTERNET,0,2.5,376.5
18-oct,12,45311178,TRANSFERENCIA INTERNET,5,0,371.5
18-oct,12,51516088,TRANSFERENCIA INTERNET,5,0,366.5
18-oct,12,56130250,TRANSFERENCIA INTERNET,100,0,266.5
18-oct,12,56194468,TRANSFERENCIA INTERNET,100,0,166.5
18-oct,12,56248265,TRANSFERENCIA INTERNET,100,0,66.5
23-oct,8504,41854201,REG 7687179- 7681350 DBERTERO,0,300,366.5
24-oct,12,527881,CANCELACION PLAZO FIJO,0,6648,7014.5
24-oct,12,527881,TRANSFERENCIA INTERIOR,0,27.48,7041.98
24-oct,12,527881,RETENCION 2% RENDIMIENTO FINANCIERO,0.55,0,7041.43
25-oct,12,682894,CANCELACION PLAZO FIJO,0,12854.21,19895.64
25-oct,12,682894,TRANSFERENCIA INTERIOR,0,682.63,20578.27
05-nov,12,261435827,TRANSFERENCIA INTERNET,0,132,20710.27
08-nov,12,32398831,TRANSFERENCIA INTERBANCARIA RECIBIDA,0,2,20712.27
30-nov,901,824545863,INTERES A SU FAVOR,0,0.08,20712.35
14-nov,8386,62703496,09075581-NOVAECUADOR -3V-TU BANCA PRO,45.07,0,20667.28
15-nov,901,13599805,*PAGO TARJETA: 2230670000895647,45.11,0,20622.17
18-nov,12,78911575,CERTIFICADO DE DEPOSITO,10310,0,10312.17
18-nov,12,79014051,CERTIFICADO DE DEPOSITO,10003,0,309.17
19-nov,12,68300962,09189088-MASTERCARD -RA-22306700007,286.98,0,22.19
